,u,v,key,osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,startpoint,endpoint,Filename,Date,Time
134,1834929668,6113528306,10000,1124328392,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,50.242,40,"LINESTRING (104.877251 11.562696, 104.8767899 11.5627051)","(11.562696, 104.877251)","(11.5627051, 104.8767899)",01-Sep-23 8.35 AM - 20240115193536.png,01-Sep-23,8:35 AM
135,1837200565,2464868004,10000,238684127,1,,,មហាវិថី សហព័ន្ធរុស្ស៊ី,secondary,False,155.448,,"LINESTRING (104.8892967 11.5661121, 104.8896614 11.5663712, 104.8898701 11.5665082, 104.8900329 11.5665974, 104.8903192 11.5667324, 104.8904952 11.5668633)","(11.5661121, 104.8892967)","(11.5668633, 104.8904952)",01-Sep-23 8.35 AM - 20240115193550.png,01-Sep-23,8:35 AM
136,1837202841,2464868004,10000,238684127,1,,,មហាវិថី សហព័ន្ធរុស្ស៊ី,secondary,False,14.876000000000001,,"LINESTRING (104.889317 11.5660093, 104.8892843 11.5660258, 104.8892698 11.5660519, 104.8892725 11.5660795, 104.8892967 11.5661121)","(11.5660093, 104.889317)","(11.5661121, 104.8892967)",01-Sep-23 8.35 AM - 20240115193555.png,01-Sep-23,8:35 AM
137,1837316004,6116590797,10000,1110567031,1,2,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,64.449,40,"LINESTRING (104.9061571 11.5703298, 104.9067457 11.5703883)","(11.5703298, 104.9061571)","(11.5703883, 104.9067457)",01-Sep-23 8.35 AM - 20240115193600.png,01-Sep-23,8:35 AM
138,1839995828,6106827011,10000,1121084012,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,74.281,40,"LINESTRING (104.9171249 11.5715651, 104.9164502 11.5714684)","(11.5715651, 104.9171249)","(11.5714684, 104.9164502)",01-Sep-23 8.35 AM - 20240115193604.png,01-Sep-23,8:35 AM
139,1861185179,1922042025,10000,1159478150,1,,,មហាវិថី សហព័ន្ធរុស្ស៊ី,secondary,False,14.919,,"LINESTRING (104.8885376 11.565818, 104.8884272 11.5657386)","(11.565818, 104.8885376)","(11.5657386, 104.8884272)",01-Sep-23 8.35 AM - 20240115193609.png,01-Sep-23,8:35 AM
140,1861185179,9448685032,10000,1159478150,1,,,មហាវិថី សហព័ន្ធរុស្ស៊ី,secondary,False,18.457,,"LINESTRING (104.8886739 11.5659166, 104.8885376 11.565818)","(11.5659166, 104.8886739)","(11.565818, 104.8885376)",01-Sep-23 8.35 AM - 20240115193614.png,01-Sep-23,8:35 AM
141,1922042025,6106045750,10000,669062800,1,,,មហាវិថី សហព័ន្ធរុស្ស៊ី,secondary,False,20.43,,"LINESTRING (104.8884272 11.5657386, 104.8882746 11.5656318)","(11.5657386, 104.8884272)","(11.5656318, 104.8882746)",01-Sep-23 8.35 AM - 20240115193618.png,01-Sep-23,8:35 AM
142,1970446683,5727365761,10000,920003525,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,11.782,40,"LINESTRING (104.8651497 11.5630423, 104.8650416 11.5630456)","(11.5630423, 104.8651497)","(11.5630456, 104.8650416)",01-Sep-23 8.35 AM - 20240115193623.png,01-Sep-23,8:35 AM
143,1970446683,5727365767,10000,920003525,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,10.997,40,"LINESTRING (104.8652506 11.5630393, 104.8651497 11.5630423)","(11.5630393, 104.8652506)","(11.5630423, 104.8651497)",01-Sep-23 8.35 AM - 20240115193627.png,01-Sep-23,8:35 AM
